POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
OT,78.0,321,5.41,20,29.0,102,4.9,8.23,0
LB,73.0,235,4.7,24,33.5,114,4.33,7.31,0
CB,71.0,193,4.56,9,32.0,114,4.29,7.31,0
OT,78.5,290,5.2,22,25.0,99,4.83,7.31,0
RB,71.13,208,4.39,15,37.0,121,4.39,7.18,0
LB,72.6,242,4.78,25,33.0,113,4.39,7.31,1
LB,74.25,243,4.72,24,34.0,117,4.28,6.73,0
WR,72.75,207,4.58,22,34.0,119,4.2,7.06,0
OG,76.75,352,5.31,30,34.0,114,4.36,7.31,0
LB,72.88,222,4.59,16,33.0,120,4.26,7.13,1
RB,76.13,246,4.87,17,33.0,116,4.35,7.04,0
WR,72.0,170,4.68,8,31.0,114,4.51,7.31,0
OG,76.88,307,5.03,31,28.0,120,4.5,7.44,0
S,70.63,202,4.77,17,39.5,128,4.45,7.31,0
CB,71.75,190,4.49,12,38.5,127,4.19,6.9,1
LB,70.38,226,4.71,19,32.5,118,4.51,7.47,0
DT,75.1,273,5.24,19,25.5,96,4.63,7.31,0
WR,72.75,212,4.51,22,36.0,113,4.43,6.96,0
CB,71.0,185,4.67,16,38.0,118,4.39,7.37,0
DT,76.0,298,4.77,30,26.0,103,4.53,7.07,1
OT,79.63,336,5.09,21,31.0,98,5.0,8.19,1
DT,73.25,335,5.37,38,29.5,102,4.91,8.09,1
S,71.4,208,4.77,11,34.5,116,4.04,7.31,0
DE,76.9,261,4.81,28,29.0,108,4.35,7.31,0
S,73.38,207,4.56,9,35.5,122,4.27,6.85,1
LB,74.38,238,4.65,24,32.5,115,4.31,7.0,0
S,69.13,203,4.45,20,36.0,124,4.46,7.31,1
RB,68.88,209,4.41,32,40.5,132,4.12,6.83,0
LB,73.38,248,5.0,16,30.0,104,4.56,7.51,1
DT,76.0,344,5.12,22,29.5,103,4.69,7.66,1
DE,77.25,269,4.86,24,32.0,120,4.21,6.89,1
WR,72.88,211,4.42,20,33.0,120,3.98,6.71,1
DE,74.0,252,4.75,26,34.5,118,4.5,7.35,1
C,74.88,309,5.24,26,29.0,104,4.59,8.06,0
CB,69.0,185,4.62,20,31.5,115,4.02,6.81,0
LB,76.75,249,4.76,21,40.5,133,4.55,7.09,0
CB,71.8,204,4.55,15,39.5,120,3.96,7.65,1
CB,73.6,188,4.66,18,32.0,121,4.41,7.31,1
LB,72.5,221,4.87,16,30.5,110,4.41,7.31,0
DT,73.0,309,5.38,25,24.5,92,4.99,8.03,0
OT,78.9,323,5.23,26,30.0,102,4.6,7.31,1
CB,71.88,195,4.8,10,32.9,114,4.42,7.31,1
RB,71.0,210,4.61,20,32.0,113,4.14,7.08,0
TE,77.1,244,5.14,12,28.5,107,4.79,7.31,0
RB,67.88,201,4.49,17,32.5,105,4.37,6.94,1
RB,71.63,241,4.8,30,32.5,110,4.46,7.2,1
DT,73.25,299,4.99,25,32.5,109,4.67,7.5,0
WR,71.25,187,4.71,21,32.5,118,4.51,7.31,0
OT,76.63,316,5.21,27,29.5,113,4.67,7.42,1
CB,72.0,190,4.57,12,38.0,113,4.37,6.98,0
CB,71.25,190,4.49,21,36.5,120,4.0,6.5,0
WR,70.38,203,4.53,10,34.0,111,4.21,6.77,1
QB,76.3,213,4.75,13,28.7,109,4.45,7.31,1
DT,76.5,342,5.05,36,32.6,115,4.46,7.31,1
QB,77.63,213,4.77,20,38.5,119,4.45,7.31,1
QB,75.38,226,4.93,20,34.5,123,4.25,6.96,0
RB,71.5,224,4.55,19,34.0,125,4.29,6.96,0
DE,75.13,263,4.81,28,32.5,112,4.2,7.22,0
S,72.6,204,4.6,11,38.0,123,4.15,7.25,0
OG,77.0,303,5.12,24,25.0,96,4.64,7.66,1
C,73.4,298,5.25,29,28.0,93,4.51,7.81,0
RB,71.0,213,4.67,22,32.0,112,4.33,7.13,0
DE,76.25,263,4.74,20,34.0,118,4.5,7.19,1
CB,72.25,197,4.41,10,31.9,125,4.28,6.75,1
S,73.38,205,4.67,13,32.0,113,3.95,6.47,0
WR,70.5,184,4.89,20,30.8,111,4.47,7.31,1
LB,73.13,222,4.66,19,38.0,126,4.35,7.09,0
LB,75.1,238,4.94,19,30.5,102,4.5,7.31,0
QB,77.25,237,4.77,19,30.5,118,4.15,6.86,1
OT,78.38,316,5.47,26,30.0,101,4.88,8.31,0
WR,72.38,199,4.28,14,40.0,129,4.27,6.9,1
WR,70.5,180,4.43,17,37.5,130,4.44,7.31,0
DE,78.0,294,4.87,24,25.0,105,4.45,7.79,0
WR,75.1,197,4.63,22,32.5,113,4.08,6.9,0
DE,75.6,267,4.93,25,34.0,109,4.23,7.09,0
OG,75.0,290,5.55,17,27.0,100,5.0,7.31,0
C,77.13,312,4.99,26,33.5,115,4.51,8.04,1
WR,72.75,220,4.38,19,34.5,123,4.27,7.0,0
DE,73.9,255,4.91,27,29.0,109,4.3,7.31,0
QB,77.0,233,4.86,18,32.5,111,4.54,7.31,1
OG,74.88,304,5.12,27,35.5,105,4.49,7.29,0
OT,79.13,309,4.87,29,30.5,116,4.49,7.39,1
CB,71.8,182,4.29,17,31.4,110,4.44,7.31,1
DE,76.3,252,4.94,25,32.5,120,4.47,7.31,1
CB,69.5,186,4.34,16,36.0,125,4.27,6.92,1
OT,77.0,320,5.34,24,27.5,100,4.84,7.87,1
DE,73.63,282,4.77,25,31.5,120,4.44,7.57,0
RB,71.63,231,4.64,15,31.5,112,4.15,7.09,0
QB,76.6,229,4.48,21,34.0,114,4.36,7.31,1
LB,75.5,231,4.76,16,31.5,111,4.25,7.31,1
OT,75.88,307,5.15,23,27.0,101,4.58,7.36,1
CB,70.88,188,4.49,18,34.0,123,4.07,7.2,0
OT,79.38,321,5.46,16,28.5,96,4.87,8.28,0
WR,72.0,191,4.36,15,36.5,127,4.06,6.87,0
LB,72.9,246,4.88,20,30.5,112,4.28,7.84,1
DT,75.63,309,5.15,23,37.0,109,4.67,7.45,0
QB,75.0,220,4.88,20,28.5,101,4.32,7.28,0
QB,75.75,235,4.81,20,28.5,108,4.48,7.26,0
